27
(1124320273,975709515)
(1869229699,234334157)
(1127097064,1524033614)
(436721141,1180543859)
(648453448,441897272)
(1074941799,470309546)
(1481275963,463194994)
(39932495,1318589653)
(1302799334,931038382)
(784529515,432960961)
(1185576725,1452779085)
(580640073,329532890)
(1048491867,966434246)
(133503203,794163048)
(1310924240,326050714)
(162648754,414844062)
(275114099,1694032874)
(1046359854,282601082)
(107491300,697938761)
(1364005817,906636224)
(982468876,571043085)
(132922167,1531293540)
(1885105567,346604688)
(1385289911,1458673862)
(1874699828,558551922)
(1762444640,1795543721)
(1700707621,1225870443)
